,name,floorSize,price,lat,lng
166,"4915 Los Feliz Blvd, Los Angeles, CA 90027",-- sqft,"$11,800,000",34.1103888,-118.2960877
167,"714 N Orange Grove Ave, Los Angeles, CA 90046","2,855 sqft","$3,395,000",34.08411,-118.3603936
168,"437 N Palos Verdes St, San Pedro, CA 90731",885 sqft,"$599,900",33.7463584,-118.2817846
169,"4065 Ursula Ave APT 6, Los Angeles, CA 90008","1,100 sqft","$350,000",34.0134691,-118.3524955
170,"15322 Weddington St APT 1, Van Nuys, CA 91411","1,225 sqft","$649,000",34.166585,-118.46661
171,"15105 Mulholland Dr, Los Angeles, CA 90077","10,463 sqft","$8,500,000",34.13113,-118.462546
172,"3542 Butler Ave, Los Angeles, CA 90066","1,320 sqft","$1,425,000",34.0146357,-118.4259173
173,"928 Statler St, San Pedro, CA 90731","1,934 sqft","$939,000",33.76414,-118.298101
174,"4737 1/2 W Elmwood Ave, Los Angeles, CA 90004","1,605 sqft","$998,000",34.051003,-118.244519
175,"11855 Goshen Ave APT 103, Los Angeles, CA 90049","1,649 sqft","$1,249,000",34.0483983,-118.4641793
176,"233 S Avenue 50, Los Angeles, CA 90042","1,516 sqft","$975,000",34.1032272,-118.2007182
177,"20737 Roscoe Blvd UNIT 704, Winnetka, CA 91306","1,580 sqft","$575,000",34.22006,-118.584807
178,"4145 Tujunga Ave, Studio City, CA 91604","4,367 sqft","$3,750,000",34.143535,-118.378891
